Zeile,Datum,Unternehmen,LinkedIn-Account,URL,Bild_anhaengen
1,08/05/2026 08:30,Aigonex GmbH,Aigonex GmbH,https://www.kiwerk.one/partner/rhein-necka,
2,08/05/2026 08:35,Connectit24 GmbH,Connectit24 GmbH,https://www.kiwerk.one/partner/hamburg,
3,08/05/2026 08:40,Datify GmbH,Datify GmbH,https://www.kiwerk.one/partner/datify,
4,08/05/2026 08:45,esposito IT,esposito IT,https://www.kiwerk.one/partner/niederrhein,
5,08/05/2026 08:50,FIS Tech,FIS Tech,https://www.kiwerk.one/partner/fis-tech,
6,08/05/2026 08:55,Inside Dynamic,Inside Dynamic,https://www.kiwerk.one/partner/mannheim-ludwigshafen-heidelberg,
7,08/05/2026 09:00,Itega,Itega,https://www.kiwerk.one/partner/muenchen,
8,08/05/2026 09:05,Kiwerk.one,Kiwerk.one,https://www.kiwerk.one,
9,08/05/2026 09:10,Mardat GmbH,Mardat GmbH,https://www.kiwerk.one/partner/ravensburg,
10,08/05/2026 09:15,Mbits,Mbits,https://www.kiwerk.one/partner/niedersachsen,
11,08/05/2026 09:20,Omega Consult,Omega Consult,https://www.kiwerk.one/partner/bodensee-oberschwaben,
12,08/05/2026 09:25,Rüger IT,Rüger IT,https://www.kiwerk.one/partner/hohenlohe,
13,08/05/2026 09:30,Stay IT Support GmbH,Stay IT Support GmbH,https://www.kiwerk.one/partner/vorderpfalz,
14,08/05/2026 09:35,VG Systems GmbH Service,VG Systems GmbH Service,https://www.kiwerk.one/partner/ruhrgebiet,
15,08/05/2026 09:40,visoma,visoma,https://www.kiwerk.one/partner/kizentrale,
16,08/05/2026 09:45,WESCON - Das Systemhaus,WESCON - Das Systemhaus,https://www.kiwerk.one/partner/nordwest,
